name,source,url,category,abv,price,quantity,single_vol,total_vol,ml_per_dollar,alcohol_vol,alc_per_dollar
1857 Kolsch-style Ale,The Beer Store,http://www.thebeerstore.ca/beers/1857-kolsch-style-ale,Ale,4.8,2.75,1,473,473,172.0,22,8.26
1857 Kolsch-style Ale,The Beer Store,http://www.thebeerstore.ca/beers/1857-kolsch-style-ale,Ale,4.8,15.75,6,473,2838,180.19,136,8.65
1857 Kolsch-style Ale,The Beer Store,http://www.thebeerstore.ca/beers/1857-kolsch-style-ale,Ale,4.8,30.5,12,473,5676,186.1,272,8.93
1857 Kolsch-style Ale,The Beer Store,http://www.thebeerstore.ca/beers/1857-kolsch-style-ale,Ale,4.8,59.95,24,473,11352,189.36,544,9.09
360 Pale Ale,The Beer Store,http://www.thebeerstore.ca/beers/360-pale-ale,Ale,4.8,3.0,1,473,473,157.67,22,7.57
360 Pale Ale,The Beer Store,http://www.thebeerstore.ca/beers/360-pale-ale,Ale,4.8,64.95,24,473,11352,174.78,544,8.39
5 Paddles Home Sweet Home,The Beer Store,http://www.thebeerstore.ca/beers/5-paddles-home-sweet-home,Ale,5.5,5.95,1,650,650,109.24,35,6.01
5 Paddles Home Sweet Home,The Beer Store,http://www.thebeerstore.ca/beers/5-paddles-home-sweet-home,Ale,5.5,71.4,12,650,7800,109.24,429,6.01
501 Golden Ale,The Beer Store,http://www.thebeerstore.ca/beers/501-golden-ale,Ale,4.2,2.95,1,473,473,160.34,19,6.73
501 Golden Ale,The Beer Store,http://www.thebeerstore.ca/beers/501-golden-ale,Ale,4.2,17.4,6,473,2838,163.1,119,6.85
501 Golden Ale,The Beer Store,http://www.thebeerstore.ca/beers/501-golden-ale,Ale,4.2,34.2,12,473,5676,165.96,238,6.97
501 Golden Ale,The Beer Store,http://www.thebeerstore.ca/beers/501-golden-ale,Ale,4.2,66.0,24,473,11352,172.0,476,7.22
Abe Erb Das Spritzhaus,The Beer Store,http://www.thebeerstore.ca/beers/abe-erb-das-spritzhaus,Ale,4.7,2.85,1,473,473,165.96,22,7.8
